"39129090 - Cellulose et ses dérivés chimiques, n.d.a., sous formes primaires (à l'excl. des acétates, nitrates, éthers et esters de cellulose)"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Exportation";"Masse en kilogramme";"Roumanie";0;1;0;10;0;0;20;20;0;400;0;400;0
"Exportation";"Masse en kilogramme";"Slovénie";0;0;690;4;0;0;5202;0;0;543;1000;440;0
"Exportation";"Masse en kilogramme";"Singapour";0;0;0;0;3;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Suède";360;9;1;12;3;15;3;232;1;0;0;820;0
"Exportation";"Masse en kilogramme";"Arabie Saoudite";0;0;0;0;0;0;7890;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Chili";0;0;0;22;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Guinée";0;0;0;0;0;16;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Finlande";200;0;0;0;1;0;100;0;300;0;650;200;0
"Exportation";"Masse en kilogramme";"Hong-Kong";1;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Hongrie";0;180;2860;0;0;0;0;0;0;0;0;400;0
"Exportation";"Masse en kilogramme";"Côte d Ivoire";2;0;0;0;17;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Suisse";0;0;0;80;0;0;20;1196;816;334;195;28;0
"Exportation";"Masse en kilogramme";"Bénin";0;0;0;10;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Bulgarie";30;0;4;250;0;0;200;315;85;15;0;348;0
"Exportation";"Masse en kilogramme";"Australie";10;0;0;84;24;0;33;0;0;33;0;0;0
"Exportation";"Masse en kilogramme";"Autriche";0;0;0;0;0;0;0;30;800;0;0;1;0
"Exportation";"Masse en kilogramme";"Antigua et Barbuda";0;0;0;0;0;0;0;0;0;169;0;0;0
"Importation";"Valeur en euros";"Total";1646174;2013558;1337633;2498575;2986477;1809856;3066148;2705735;2853922;3111637;3052200;2475131;2725627
"Importation";"Valeur en euros";"Japon";408510;430474;203798;858997;1194476;470487;1628542;826663;904594;659322;800919;527184;728514
"Importation";"Valeur en euros";"Allemagne";624308;996068;484554;564293;734603;579285;657598;767964;892295;1037623;712973;881727;659087
"Importation";"Valeur en euros";"Danemark";0;0;0;0;0;0;39252;0;0;0;585344;0;504256
"Importation";"Valeur en euros";"Belgique";36288;5875;5971;6238;572;48763;7035;44137;45164;51602;20821;28625;255176
"Importation";"Valeur en euros";"Irlande";35180;78896;221749;359079;311562;218779;214085;638358;468316;587443;607189;295952;239290
